ingenio,cana_molida_bruta,cana_molida_neta,superficie_cosechada,azucar_producida_total,azucar_producida_refinada,azucar_producida_estandar,azucar_producida_blanca_especial,azucar_producida_mascabado,alcohol_96_gl_producido,miel_final_85_brix_producida,karbe_ton_cana_bruta_teorico,karbe_ton_cana_neta_teorico,extraccion_de_jugo_mezclado_en_cana,extraccion_pol_por_pol_cana,bagazo_en_cana,fibra_en_cana,pol_en_cana,brix_en_jugo_mezclado,pol_en_jugo_mezclado,pza_aparente_jugo_mezclado,pol_en_bagazo,humedad_en_bagazo,materia_extrana_en_cana,perdidas_de_bagazo,perdidas_de_miel_final_producida_y_estimada,perdidas_en_cachaza,perdidas_indeterminadas,perdidas_totales,consumo_de_petroleo_en_pruebas,consumo_de_petroleo_en_molienda,consumo_de_petroleo_en_liquidacion,consumo_de_petroleo_en_fabrica_alcohol,consumo_de_petroleo_total,tiempo_perdido_en_fabrica_h,tiempo_perdido_por_personal_h,tiempo_perdido_por_dias_festivos_h,tiempo_perdido_en_campo_h,tiempo_perdido_por_lluvias_h,tiempo_perdido_total_h,eficiencia_en_fabrica,cluster,cluster_name,class_id
central_motzorongo_s.a._de_c.v.,686051.645,659776.0206666667,11234.84125,70545.10870833333,0.0,51895.02533333333,0.0,18650.083375,0.0,17059.049416666665,106.70182425,110.81079166666666,3.765833333333333,3.9762500000000003,1.0958333333333334,12.030000000000001,12.52875,15.67,0.5620833333333334,83.14375,2.24125,50.080000000000005,2367.784416666667,4051.3414166666666,5921.732291666667,2210.4415833333333,3928.049833333333,16111.565125000001,0.0,242509.375,2807.2083333333335,0.0,245316.58333333334,59.65486111111111,4.060416666666667,0.0,157.21805555555557,154.23402777777778,375.1673611111111,81.48254166666666,2,Eficientes,1
central_progreso_s.a._de_c.v.,433994.5227272727,433980.88386363635,7403.405909090909,53487.895454545454,0.0,53487.895454545454,0.0,0.0,0.0,12983.471954545454,122.1855979090909,122.18772727272727,90.43681818181818,90.37886363636363,28.318136363636366,13.9765,14.285045454545456,16.581045454545457,13.618181818181819,86.06336363636363,2.4336363636363636,49.535363636363634,13.638863636363636,3107.808318181818,4770.106545454545,680.9008636363636,610.1740909090909,9168.989818181819,119593.0,40274.0,0.0,0.0,159867.0,103.23106060606061,7.113636363636363,27.6780303030303,38.82954545454545,126.75378787878789,303.60606060606057,84.59686363636364,2,Eficientes,1
cia._industrial_azucarera_s.a_de_c.v.,361169.65625,352094.184375,7182.860166666666,39406.902083333334,0.0,39406.902083333334,0.0,0.0,0.0,9670.401916666668,107.96703366666667,110.63583333333334,87.61183333333334,89.65020833333334,28.003791666666668,12.975125,12.720875,15.557541666666665,12.451791666666667,83.61391666666667,2.6819166666666665,52.184958333333334,8349.620499999999,2942.500541666667,3305.561708333333,361.71116666666666,584.6066666666667,7194.3800833333335,0.0,139454.08333333334,0.0,0.0,139454.08333333334,196.2777777777778,10.585416666666667,0.0,74.11458333333333,115.96875,396.96527777777777,83.78587499999999,2,Eficientes,1
cia_azucarera_ingenio_bellavista_s.a_de_c.v.,397637.9591785715,386666.2815714286,4325.655,45955.00535714285,0.0,45955.00535714285,0.0,0.0,0.0,13894.509357142857,111.50782771428571,114.60078571428572,99.56942857142857,94.91225,26.470285714285716,11.918642857142856,13.254999999999999,15.573535714285715,12.635035714285715,81.08921428571429,2.532678571428572,51.60275,10971.677607142858,2609.605892857143,4040.601964285714,446.94692857142854,952.2033214285714,8049.358107142857,0.0,0.0,0.0,0.0,0.0,93.17857142857143,11.880952380952381,0.0,16.255952380952383,157.70238095238096,279.01785714285717,84.54324999999999,2,Eficientes,1
cia._azucarera_del_rio_guayalejo_s.a._de_c.v.,614442.0337096775,565534.8843548386,9001.943548387097,56690.680645161294,43046.346774193546,13644.333870967743,0.0,0.0,0.0,21500.108,106.46938661290322,115.9041935483871,98.40896774193548,93.64361290322582,28.419225806451614,12.33548387096774,12.885967741935485,15.537387096774193,12.267451612903226,78.91967741935484,2.8699032258064516,51.52619354838709,48907.075548387096,4977.071612903226,8432.565516129032,1343.7452580645163,7402.75635483871,22156.138741935483,230637.0,641281.5161290322,0.0,0.0,871918.5161290322,403.3198924731183,5.741935483870968,0.0,126.45430107526882,140.6209677419355,676.1344086021505,72.596,0,Gigantes,0
cia_azucarera_la_fe_s.a._de_c.v.,837729.2884615385,825163.760923077,8469.482692307693,106054.05769230769,0.0,106054.05769230769,0.0,0.0,3381311.5384615385,25886.718423076924,123.30195211538461,125.17965384615384,98.6366153846154,96.3803076923077,26.335846153846152,11.837499999999999,14.309153846153846,16.47919230769231,13.986192307692308,84.85315384615384,1.966076923076923,52.135807692307694,12565.52753846154,4392.471576923077,9083.459346153846,939.3926538461538,1056.4428076923077,15471.766384615385,0.0,0.0,0.0,0.0,0.0,112.23717948717947,9.891025641025639,73.16666666666666,0.1474358974358974,1.823717948717949,194.75641025641028,86.97846153846154,2,Eficientes,1
fideicomiso_ingenio_atencingo,916033.584,905043.1548,7724.8207999999995,114817.286,0.0,114817.286,0.0,0.0,0.0,33809.23548,125.20018676,126.71876,94.59819999999999,95.34415999999999,26.907719999999998,12.2826,14.60904,17.43328,14.722719999999999,84.45024,2.52704,50.8288,10990.429199999999,6518.293839999999,11482.1934,427.08412,1721.7776000000001,20149.34896,0.0,0.0,0.0,0.0,0.0,100.67666666666666,22.866666666666664,0.0,11.656666666666668,5.673333333333334,140.87333333333333,85.25668,2,Eficientes,1
fideicomiso_ingenio_casasano,320123.97185185185,320123.97185185185,2879.0226666666663,42186.84259259259,0.0,42186.84259259259,0.0,0.0,0.0,10525.761888888888,125.29802848148148,125.29799999999999,101.64996296296296,96.6662962962963,27.300407407407405,13.157185185185185,14.666296296296297,16.425185185185185,13.943444444444445,84.87922222222223,1.7889629629629629,49.084074074074074,0.0,1572.9288148148148,3305.1424444444447,197.1772222222222,606.9167777777778,5682.165259259259,0.0,0.0,0.0,0.0,0.0,63.2253086419753,2.058641975308642,0.0,7.0,39.30246913580246,111.44444444441976,87.77988888888888,2,Eficientes,1
fideicomiso_ingenio_el_modelo,545283.1554761905,525620.1554285714,6145.083333333333,60146.068952380956,0.0,60146.068952380956,0.0,0.0,0.0,17474.175666666666,109.92349666666667,114.0022380952381,97.14361904761905,95.86704761904763,26.34604761904762,12.395238095238096,12.942047619047619,15.366952380952382,12.772,83.10814285714285,2.0300000000000002,50.19190476190476,19663.000047619047,2958.8369047619044,6230.502904761905,577.4540476190476,935.9280000000001,10702.721857142857,0.0,0.0,0.0,0.0,0.0,33.47698412698413,68.10317460317461,0.0,7.764285714285715,44.95793650793651,154.3325396825397,84.34609523809524,2,Eficientes,1
fideicomiso_ingenio_el_potrero,865988.7951999999,845041.21924,13635.66,98986.37599999999,98986.37599999999,0.0,0.0,0.0,0.0,27691.79596,114.82301627999999,117.62907999999999,99.4122,97.09144,26.2364,12.88372,13.44416,15.532960000000001,13.130840000000001,84.52436,1.48968,48.8852,20955.15372,3401.47048,9841.85568,941.3805199999999,2862.8104399999997,17047.51712,0.0,15598.4,6594.44,0.0,22192.84,17.803333333333335,16.713333333333335,0.0,29.443333333333335,159.96666666666667,223.89666666666668,85.28716,2,Eficientes,1
